Tick: 318, energy: -14.5758, penergy: -15.9892, kenergy: 1.4134
Tick: 319, energy: -14.5758, penergy: -15.9902, kenergy: 1.41442
Tick: 320, energy: -14.5758, penergy: -15.9913, kenergy: 1.41545
Tick: 321, energy: -14.5758, penergy: -15.9923, kenergy: 1.41648
Tick: 322, energy: -14.5758, penergy: -15.9933, kenergy: 1.41752
Tick: 323, energy: -14.5758, penergy: -15.9944, kenergy: 1.41856
Tick: 324, energy: -14.5758, penergy: -15.9954, kenergy: 1.41961
Tick: 325, energy: -14.5758, penergy: -15.9965, kenergy: 1.42065
Tick: 326, energy: -14.5758, penergy: -15.9975, kenergy: 1.42171
Tick: 327, energy: -14.5758, penergy: -15.9986, kenergy: 1.42276
Tick: 328, energy: -14.5758, penergy: -15.9996, kenergy: 1.42382
Tick: 329, energy: -14.5758, penergy: -16.0007, kenergy: 1.42489
Tick: 330, energy: -14.5758, penergy: -16.0018, kenergy: 1.42595
Tick: 331, energy: -14.5758, penergy: -16.0029, kenergy: 1.42703
Tick: 332, energy: -14.5758, penergy: -16.0039, kenergy: 1.4281
Tick: 333, energy: -14.5758, penergy: -16.005, kenergy: 1.42918
Tick: 334, energy: -14.5758, penergy: -16.0061, kenergy: 1.43026
Tick: 335, energy: -14.5758, penergy: -16.0072, kenergy: 1.43135
Tick: 336, energy: -14.5758, penergy: -16.0083, kenergy: 1.43244
Tick: 337, energy: -14.5758, penergy: -16.0094, kenergy: 1.43354
Tick: 338, energy: -14.5758, penergy: -16.0105, kenergy: 1.43464
Tick: 339, energy: -14.5758, penergy: -16.0116, kenergy: 1.43574
Tick: 340, energy: -14.5759, penergy: -16.0127, kenergy: 1.43685
Tick: 341, energy: -14.5759, penergy: -16.0138, kenergy: 1.43796
Tick: 342, energy: -14.5759, penergy: -16.0149, kenergy: 1.43908
Tick: 343, energy: -14.5759, penergy: -16.0161, kenergy: 1.4402
Tick: 344, energy: -14.5759, penergy: -16.0172, kenergy: 1.44132
Tick: 345, energy: -14.5759, penergy: -16.0183, kenergy: 1.44245
Tick: 346, energy: -14.5759, penergy: -16.0194, kenergy: 1.44358
Tick: 347, energy: -14.5759, penergy: -16.0206, kenergy: 1.44471
Tick: 348, energy: -14.5759, penergy: -16.0217, kenergy: 1.44585
Tick: 349, energy: -14.5759, penergy: -16.0229, kenergy: 1.447
Tick: 350, energy: -14.5759, penergy: -16.024, kenergy: 1.44815
Tick: 351, energy: -14.5759, penergy: -16.0252, kenergy: 1.4493
Tick: 352, energy: -14.5759, penergy: -16.0263, kenergy: 1.45045
Tick: 353, energy: -14.5759, penergy: -16.0275, kenergy: 1.45161
Tick: 354, energy: -14.5759, penergy: -16.0287, kenergy: 1.45278
Tick: 355, energy: -14.5759, penergy: -16.0298, kenergy: 1.45395
Tick: 356, energy: -14.5759, penergy: -16.031, kenergy: 1.45512
Tick: 357, energy: -14.5759, penergy: -16.0322, kenergy: 1.4563
Tick: 358, energy: -14.5759, penergy: -16.0334, kenergy: 1.45748
Tick: 359, energy: -14.5759, penergy: -16.0346, kenergy: 1.45866
Tick: 360, energy: -14.5759, penergy: -16.0357, kenergy: 1.45985
Tick: 361, energy: -14.5759, penergy: -16.0369, kenergy: 1.46105
Tick: 362, energy: -14.5759, penergy: -16.0381, kenergy: 1.46224
Tick: 363, energy: -14.5759, penergy: -16.0393, kenergy: 1.46345
Tick: 364, energy: -14.5759, penergy: -16.0406, kenergy: 1.46465
Tick: 365, energy: -14.5759, penergy: -16.0418, kenergy: 1.46586
Tick: 366, energy: -14.5759, penergy: -16.043, kenergy: 1.46708
Tick: 367, energy: -14.5759, penergy: -16.0442, kenergy: 1.4683
Tick: 368, energy: -14.5759, penergy: -16.0454, kenergy: 1.46952
Tick: 369, energy: -14.5759, penergy: -16.0467, kenergy: 1.47075
Tick: 370, energy: -14.5759, penergy: -16.0479, kenergy: 1.47198
Tick: 371, energy: -14.5759, penergy: -16.0491, kenergy: 1.47321
Tick: 372, energy: -14.5759, penergy: -16.0504, kenergy: 1.47446
Tick: 373, energy: -14.5759, penergy: -16.0516, kenergy: 1.4757
Tick: 374, energy: -14.5759, penergy: -16.0529, kenergy: 1.47695
